Date,Open,High,Low,Close,Volume,MA_10,MA_50,RSI,BB_Middle,BB_Upper,BB_Lower
2020-03-13 00:00:00+00:00,5.762499809265137,6.0254998207092285,5.490250110626221,6.020999908447266,634836000,6.440750026702881,6.432544984817505,42.23477453502426,6.757224988937378,7.950294692424101,5.5641552854506555
2020-03-16 00:00:00+00:00,5.3102498054504395,5.652500152587891,4.849999904632568,4.909999847412109,726972000,6.240675020217895,6.410789985656738,36.44098850619087,6.640487480163574,8.066798873285158,5.214176087041991
2020-03-17 00:00:00+00:00,5.022749900817871,5.521500110626221,4.775000095367432,5.4317498207092285,833632000,6.119124984741211,6.4013899803161625,40.21215182041926,6.541362476348877,8.015993779224598,5.066731173473156
2020-03-18 00:00:00+00:00,5.002500057220459,5.248499870300293,4.517000198364258,5.070499897003174,874268000,5.9148999691009525,6.384269981384278,40.30611926532446,6.401512479782104,7.877116837498638,4.925908122065571
2020-03-19 00:00:00+00:00,5.048999786376953,5.41825008392334,4.834750175476074,5.324250221252441,765512000,5.764099979400635,6.370789985656739,38.55436196716919,6.281849980354309,7.694944906961844,4.868755053746774
2020-03-20 00:00:00+00:00,5.474999904632568,5.757999897003174,5.1282501220703125,5.143750190734863,804636000,5.613374996185303,6.353474988937378,35.88094332918257,6.171449995040893,7.577586860765476,4.7653131293163105
2020-03-23 00:00:00+00:00,5.142749786376953,5.4120001792907715,4.9629998207092285,5.317249774932861,643876000,5.53149995803833,6.338309984207154,39.21766840626888,6.095712494850159,7.515156998875455,4.676267990824862
2020-03-24 00:00:00+00:00,5.724999904632568,6.316500186920166,5.701250076293945,6.229499816894531,1101644000,5.50174994468689,6.340739984512329,43.323125528887935,6.079624986648559,7.484549881659527,4.674700091637591
2020-03-25 00:00:00+00:00,6.34499979019165,6.545499801635742,6.0914998054504395,6.140500068664551,793432000,5.499624967575073,6.337559986114502,44.61484447693271,6.052087497711182,7.4278223904958125,4.676352604926551
2020-03-26 00:00:00+00:00,6.348499774932861,6.555500030517578,6.25,6.431000232696533,696108000,5.601949977874756,6.342539987564087,48.31598423049955,6.0578875064849855,7.439256003917513,4.676519009052458
2020-03-27 00:00:00+00:00,6.25,6.578000068664551,6.2170000076293945,6.3182501792907715,638828000,5.6316750049591064,6.346119995117188,51.48660258376963,6.036212515830994,7.384958316448381,4.687466715213606
2020-03-30 00:00:00+00:00,6.383999824523926,6.64900016784668,6.339749813079834,6.639750003814697,602252000,5.804650020599365,6.354449996948242,50.93024269540707,6.02266252040863,7.339482226636354,4.705842814180906
2020-03-31 00:00:00+00:00,6.679999828338623,6.885000228881836,6.443749904632568,6.590000152587891,949960000,5.920475053787231,6.3616100025177005,53.727319571712634,6.019800019264221,7.331140476934923,4.70845956159352
2020-04-01 00:00:00+00:00,6.391250133514404,6.538249969482422,6.0320000648498535,6.076749801635742,656912000,6.021100044250488,6.3591749954223635,56.077395595701674,5.96800000667572,7.175276559403328,4.7607234539481125
2020-04-02 00:00:00+00:00,6.105999946594238,6.400000095367432,6.057750225067139,6.386750221252441,675764000,6.1273500442504885,6.361855001449585,53.516322531595996,5.945725011825561,7.101188389738785,4.790261633912338
2020-04-03 00:00:00+00:00,6.348999977111816,6.390749931335449,5.959750175476074,6.097750186920166,663212000,6.222750043869018,6.357380008697509,63.562663449093726,5.918062520027161,7.028026836917029,4.808098203137293
2020-04-06 00:00:00+00:00,6.38100004196167,6.747000217437744,6.323249816894531,6.710000038146973,727884000,6.3620250701904295,6.366340007781982,64.3004996320696,5.94676251411438,7.108910539263136,4.784614488965624
2020-04-07 00:00:00+00:00,6.932499885559082,6.956250190734863,6.432499885559082,6.475749969482422,784520000,6.386650085449219,6.375755004882812,66.18112683675221,5.944200015068054,7.101175570569126,4.787224459566982
2020-04-08 00:00:00+00:00,6.585249900817871,6.698750019073486,6.514999866485596,6.673749923706055,542444000,6.439975070953369,6.385244998931885,65.74127737850692,5.9698000192642215,7.168933215833334,4.770666822695109
2020-04-09 00:00:00+00:00,6.800000190734863,6.822999954223633,6.510499954223633,6.573750019073486,525564000,6.454250049591065,6.393949995040893,66.99952304945423,6.02810001373291,7.22555342973494,4.830646597730881
2020-04-13 00:00:00+00:00,6.513750076293945,6.755000114440918,6.425000190734863,6.746250152587891,398408000,6.497050046920776,6.4059700012207035,66.99167944752665,6.064362525939941,7.30408996297999,4.824635088899893
2020-04-14 00:00:00+00:00,6.875,7.132999897003174,6.847249984741211,7.098750114440918,530948000,6.542950057983399,6.4297300052642825,61.92305357842693,6.173800039291382,7.370133267320213,4.97746681126255
2020-04-15 00:00:00+00:00,6.929999828338623,7.104249954223633,6.884500026702881,7.020999908447266,366148000,6.586050033569336,6.449984998703003,62.11474478851476,6.253262543678284,7.453182362371367,5.053342724985201
2020-04-16 00:00:00+00:00,7.177000045776367,7.474999904632568,7.163750171661377,7.367499828338623,745620000,6.715125036239624,6.473769998550415,62.68969458132153,6.368112540245056,7.530494194895149,5.205730885594963
2020-04-17 00:00:00+00:00,7.449999809265137,7.471499919891357,7.173500061035156,7.308000087738037,539120000,6.807250022888184,6.49454999923706,63.607614604150776,6.467300033569336,7.592592946253273,5.342007120885398
2020-04-20 00:00:00+00:00,7.181000232696533,7.337500095367432,7.131750106811523,7.176249980926514,449388000,6.915100002288819,6.510950002670288,57.782127919053615,6.5689250230789185,7.548626667607114,5.589223378550723
2020-04-21 00:00:00+00:00,7.057750225067139,7.1192498207092285,6.677750110626221,6.737750053405762,735160000,6.917875003814697,6.519910001754761,51.92595813704167,6.6399500370025635,7.424007318122914,5.855892755882213
2020-04-22 00:00:00+00:00,6.930749893188477,7.196750164031982,6.885000228881836,7.153749942779541,483356000,6.9856750011444095,6.531499996185302,64.40417422865198,6.686162543296814,7.477277903917767,5.895047182675861
2020-04-23 00:00:00+00:00,7.196000099182129,7.328499794006348,7.074999809265137,7.100249767303467,424160000,7.028324985504151,6.539559993743897,60.24554238722328,6.734150028228759,7.501992721721221,5.966307334736298
2020-04-24 00:00:00+00:00,7.090000152587891,7.2417497634887695,7.014999866485596,7.239749908447266,352328000,7.094924974441528,6.548084993362426,67.13427949082234,6.774587512016296,7.560187389777266,5.988987634255327
2020-04-27 00:00:00+00:00,7.374750137329102,7.587500095367432,7.349999904632568,7.427000045776367,479388000,7.162999963760376,6.561234998703003,62.33017956627913,6.830025005340576,7.636247658060273,6.023802352620879
2020-04-28 00:00:00+00:00,7.574999809265137,7.605000019073486,7.278500080108643,7.283999919891357,442904000,7.18152494430542,6.562019996643066,64.349753348442,6.862237501144409,7.687702197889576,6.036772804399242
2020-04-29 00:00:00+00:00,7.419250011444092,7.514500141143799,7.34375,7.46150016784668,379160000,7.225574970245361,6.562965002059936,64.08834963809335,6.905812501907349,7.762198886960267,6.0494261168544305
2020-04-30 00:00:00+00:00,7.407249927520752,7.46150016784668,7.293000221252441,7.307000160217285,375916000,7.219525003433228,6.551755008697509,62.86290598485063,6.967325019836426,7.746199994108944,6.188450045563907
2020-05-01 00:00:00+00:00,7.108749866485596,7.222499847412109,7.020999908447266,7.069499969482422,342096000,7.195674991607666,6.538795003890991,55.544116809983564,7.001462507247925,7.731514392066213,6.271410622429636
2020-05-04 00:00:00+00:00,7.021999835968018,7.296000003814697,7.021999835968018,7.282249927520752,317556000,7.20627498626709,6.537405004501343,53.3057063931209,7.060687494277954,7.66307370885761,6.458301279698299
