Date,Open,High,Low,Close,Volume,MA_10,MA_50,RSI,BB_Middle,BB_Upper,BB_Lower,Daily_Return,MA_200,MACD,Signal_Line,ADX,ATR,Sentiment_Proxy,RSI_Lag_1,MACD_Lag_1,ADX_Lag_1,RSI_Lag_2,MACD_Lag_2,ADX_Lag_2,RSI_Lag_3,MACD_Lag_3,ADX_Lag_3,Target
2020-12-30 00:00:00+00:00,12.990249633789062,13.213749885559082,12.896750450134276,13.145750045776367,225396000,13.145824909210203,13.286245040893554,57.39340036599043,13.224962520599366,13.671255920318169,12.778669120880563,0.015645247366615322,10.78662626028061,-0.07699925208504865,-0.053900697993010845,16.003585796486234,0.2734642028808599,1.0245797913707406,37.82730724027333,-0.08510907747154306,17.49539270174151,31.245852901564405,-0.07360399669967421,15.634653953435578,34.65195272593384,-0.053445081472117906,12.925143937376145,1
2020-12-31 00:00:00+00:00,13.136500358581545,13.151000022888184,12.914999961853027,13.05500030517578,192424000,13.127074909210204,13.27443504333496,52.752380299846735,13.200487518310547,13.626212103955966,12.774762932665128,-0.006903352055575129,10.826548762321472,-0.077007211478751,-0.05852200069015888,14.833314788953384,0.2746605873107913,1.018273330370285,57.39340036599043,-0.07699925208504865,16.003585796486234,37.82730724027333,-0.08510907747154306,17.49539270174151,31.245852901564405,-0.07360399669967421,15.634653953435578,0
2021-01-04 00:00:00+00:00,13.104249954223633,13.65250015258789,12.962499618530272,13.113499641418455,560640000,13.104299831390382,13.266210041046143,53.296049656940426,13.186362504959106,13.603432039586943,12.769292970331268,0.004480990798558793,10.865495009422302,-0.07146925869401777,-0.061111452290930665,15.829120121954782,0.30987487520490414,1.0532305152835832,52.752380299846735,-0.077007211478751,14.833314788953384,57.39340036599043,-0.07699925208504865,16.003585796486234,37.82730724027333,-0.08510907747154306,17.49539270174151,1
2021-01-05 00:00:00+00:00,13.099749565124512,13.443499565124512,13.086999893188477,13.404749870300291,322760000,13.117574787139892,13.267085037231446,53.16517468313037,13.178687477111817,13.57190966632974,12.785465287893894,0.022209954386389175,10.906800007820129,-0.043082305818607836,-0.0575056229964661,16.876679126425074,0.30851772853306414,1.0272407484408697,53.296049656940426,-0.07146925869401777,15.829120121954782,52.752380299846735,-0.077007211478751,14.833314788953384,57.39340036599043,-0.07699925208504865,16.003585796486234,0
2021-01-06 00:00:00+00:00,13.22249984741211,13.244999885559082,12.586000442504885,12.614500045776367,580424000,13.045799827575683,13.247570037841797,33.458967460028134,13.129075002670287,13.544641808535062,12.713508196805511,-0.0589529705641737,10.943286259174346,-0.0833907212677758,-0.06268264265072804,17.47249202611743,0.3471963065011163,1.0523597187259468,53.16517468313037,-0.043082305818607836,16.876679126425074,53.296049656940426,-0.07146925869401777,15.829120121954782,52.752380299846735,-0.077007211478751,14.833314788953384,1
2021-01-07 00:00:00+00:00,12.967499732971191,13.377750396728516,12.886500358581545,13.343999862670898,461480000,13.052374839782717,13.25162504196167,51.77044470217337,13.128774976730346,13.543678333971243,12.713871619489447,0.05783025995856139,10.978858759403229,-0.055827349445561225,-0.06131158400969468,17.802249850792865,0.38566058022635336,1.038121291621261,33.458967460028134,-0.0833907212677758,17.47249202611743,53.16517468313037,-0.043082305818607836,16.876679126425074,53.296049656940426,-0.07146925869401777,15.829120121954782,1
2021-01-08 00:00:00+00:00,13.362500190734863,13.42099952697754,13.041999816894531,13.27674961090088,292528000,13.07912483215332,13.249225025177005,48.86241923200095,13.146074962615966,13.555023434135087,12.737126491096843,-0.005039737144943102,11.01454000711441,-0.0389605984503163,-0.05684138689781901,18.261745717734378,0.39837482997349366,1.0290599383073182,51.77044470217337,-0.055827349445561225,17.802249850792865,33.458967460028134,-0.0833907212677758,17.47249202611743,53.16517468313037,-0.043082305818607836,16.876679126425074,1
2021-01-11 00:00:00+00:00,13.418749809265137,13.961000442504885,13.362500190734863,13.621500015258787,518344000,13.141899871826173,13.269115028381348,55.61806416799143,13.178537464141844,13.630229517214005,12.726845411069688,0.025966476318484588,11.050492506027222,0.0021995446822042908,-0.04503320058181435,19.414045283753502,0.4233570780072897,1.0447895411208303,48.86241923200095,-0.0389605984503163,18.261745717734378,51.77044470217337,-0.055827349445561225,17.802249850792865,33.458967460028134,-0.0833907212677758,17.47249202611743,0
2021-01-12 00:00:00+00:00,13.7524995803833,13.75450038909912,13.345000267028809,13.484749794006348,291476000,13.20037488937378,13.27833002090454,52.39253434962829,13.202112436294556,13.666519857531554,12.737705015057555,-0.010039292375968345,11.0863250041008,0.023513604476066874,-0.031323839570238106,20.67793809773558,0.42385707582746257,1.0306856585894608,55.61806416799143,0.0021995446822042908,19.414045283753502,48.86241923200095,-0.0389605984503163,18.261745717734378,51.77044470217337,-0.055827349445561225,17.802249850792865,0
2021-01-13 00:00:00+00:00,13.489999771118164,13.625,13.385000228881836,13.531749725341797,210028000,13.259224891662598,13.298285007476808,53.98584843417488,13.21326241493225,13.698682558637785,12.727842271226718,0.003485413674960469,11.120785002708436,0.043693975139316166,-0.016320276628327253,21.22733243900783,0.4207677841186526,1.017930501831468,52.39253434962829,0.023513604476066874,20.67793809773558,55.61806416799143,0.0021995446822042908,19.414045283753502,48.86241923200095,-0.0389605984503163,18.261745717734378,0
